,pdb,interface_ave_plddt
0,7rfb_A0-B0,38.826595744680844
1,7ps1_A0-B0,46.91696428571428
2,7kql_H0-L0,47.07021276595744
3,7si0_I0-J0,51.107777777777784
4,7q0i_H0-L0,29.83299999999999
5,7mzi_H0-L0,39.52204081632652
6,7k9j_H0-L0,39.44810810810811
7,7rah_B0-A0,45.163777777777774
8,7lr3_H0-L0,44.890277777777776
9,7qu2_A0-B0,41.535500000000006
10,7mzm_H0-L0,47.97481481481481
11,7kyo_H0-L0,48.54375000000001
12,7b0b_H0-L0,36.4290625
13,7qny_A0-B0,42.628679245283024
14,7n4i_H0-L0,42.29770833333334
15,7k7h_H0-L0,49.23134615384616
16,7l7e_C0-D0,52.32888888888889
17,7msq_D0-E0,50.64388888888889
18,7ps2_A0-B0,50.18042553191489
19,7s0b_A0-B0,43.80613636363636
20,7bbg_H0-L0,45.12880952380952
21,7r8l_H0-L0,46.49285714285714
22,7mzh_H0-L0,32.38675675675675
23,7nx3_B0-C0,37.20829268292683
24,7l7r_B0-A0,46.982368421052634
25,7q0g_A0-B0,42.61302325581394
26,7phu_B0-C0,37.84759999999999
27,7seg_H0-L0,50.042564102564114
28,7s4s_H0-L0,49.05446428571429
29,7phw_B0-C0,45.206333333333326
30,7lr4_H0-L0,44.19571428571429
31,7l7d_H0-L0,40.71060606060605
32,7l0l_H0-L0,57.694516129032266
33,7mzj_H0-L0,47.44347826086957
34,7qu1_A0-B0,36.783478260869565
35,7e72_A0-B0,43.00000000000001
36,7daa_H0-L0,47.170249999999996
37,7np1_H0-L0,46.900624999999984
38,7n4j_H0-L0,39.945454545454545
39,7dk2_A0-B0,45.289833333333334
40,7pr0_H0-L0,48.51222222222221
41,7s13_H0-L0,41.083333333333336
42,7l7r_D0-C0,36.4271875
43,7f7e_C0-L0,45.34781249999999
44,7rk1_C0-C1,43.06820512820513
45,7s11_H0-L0,42.35432432432433
46,7bnv_H0-L0,46.13967741935484
47,7mzf_H0-L0,49.9725
48,7kn4_H0-L0,49.81560975609757
49,7r89_C0-D0,31.288157894736838
50,7kf1_H0-L0,43.188437500000006
51,7e3o_H0-L0,40.50074074074073
52,7lf7_A0-B0,44.03387096774194
53,7mdj_A0-B0,42.51918918918919
54,7shu_E0-F0,51.929189189189195
55,7kez_H0-L0,38.30499999999999
56,7lfa_B0-D0,30.770303030303026
57,7ps6_H0-L0,39.139
58,7mrz_X0-Y0,45.895833333333336
59,7lfb_H0-L0,33.963846153846156
60,7sem_B0-C0,49.460980392156856
61,7rk2_C0-C1,47.52866666666667
62,7qnw_A0-B0,50.730606060606064
63,7mzk_N0-M0,40.05357142857143
64,7kn3_H0-L0,44.42020408163267
65,7rah_D0-C0,29.11
66,7soe_B0-L0,36.77333333333333
67,7ps4_H0-L0,45.9875
68,7shz_K0-L0,44.57153846153845
69,7ps0_H0-L0,42.95343750000001
70,7bbj_H0-L0,49.59744680851065
71,7vux_H0-L0,37.7604081632653
72,7vmu_A0-A1,49.6156923076923
73,7coe_H0-L0,49.056999999999995
74,7ps6_C0-D0,37.64433333333336
75,7q0g_H0-L0,51.31979591836734
76,7mzg_H0-L0,51.374
77,7pi7_B0-C0,39.812407407407406
78,7e5o_H0-L0,49.92929824561404
79,7n3i_H0-L0,49.60784615384614
80,7ps2_H0-L0,43.389347826086954
81,7rks_H0-L0,49.37729166666667
82,7kf0_H0-L0,47.17871794871795
