capri_step pdb run acc_top1 acc_top5 acc_top10 acc_top20 acc_top48 med_top1 med_top5 med_top10 med_top20 med_top48 high_top1 high_top5 high_top10 high_top20 high_top48
1 7rfb_A0-B0 run_capri_zdock_abl-CDR-EpiVag 0 1 1 4 7 0 0 0 0 0 0 0 0 0 0
1 7rfb_A0-B0 run_capri_zdock_af2ig-Para-Epi 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
1 7rfb_A0-B0 run_capri_zdock_af2ab-Para-Epi 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7rfb_A0-B0 run_capri_zdock_af2af2-CDR-EpiVag 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0
1 7rfb_A0-B0 run_capri_zdock_af2ab-CDR-EpiVag 0 1 1 1 2 0 0 0 0 0 0 0 0 0 0
1 7rfb_A0-B0 run_capri_zdock_af2af2-Para-Epi 0 1 1 2 3 0 0 0 0 0 0 0 0 0 0
1 7rfb_A0-B0 run_capri_zdock_ig-CDR-EpiVag 1 2 2 2 5 0 0 0 0 0 0 0 0 0 0
1 7rfb_A0-B0 run_capri_zdock_af2-Para-Epi 0 2 3 4 10 0 1 1 2 2 0 0 0 0 0
1 7rfb_A0-B0 run_capri_zdock_af2-CDR-EpiVag 0 1 2 2 7 0 0 0 0 1 0 0 0 0 0
1 7rfb_A0-B0 run_capri_zdock_af2ig-CDR-EpiVag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7rfb_A0-B0 run_capri_zdock_af2abl-CDR-EpiVag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7rfb_A0-B0 run_capri_zdock_ig-Para-Epi 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0
1 7rfb_A0-B0 run_capri_zdock_ab-CDR-EpiVag 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
1 7rfb_A0-B0 run_capri_zdock_abl-Para-Epi 1 2 2 2 5 0 0 0 0 0 0 0 0 0 0
1 7rfb_A0-B0 run_capri_zdock_ab-Para-Epi 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7rfb_A0-B0 run_capri_zdock_af2abl-Para-Epi 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7ps1_A0-B0 run_capri_zdock_abl-CDR-EpiVag 0 0 0 1 7 0 0 0 0 1 0 0 0 0 0
1 7ps1_A0-B0 run_capri_zdock_af2ig-Para-Epi 0 0 0 1 8 0 0 0 0 0 0 0 0 0 0
1 7ps1_A0-B0 run_capri_zdock_af2ab-Para-Epi 1 2 3 3 7 1 2 2 2 2 0 0 0 0 0
1 7ps1_A0-B0 run_capri_zdock_af2af2-CDR-EpiVag 0 0 0 1 4 0 0 0 0 0 0 0 0 0 0
1 7ps1_A0-B0 run_capri_zdock_af2ab-CDR-EpiVag 0 0 1 3 4 0 0 0 2 3 0 0 0 0 0
1 7ps1_A0-B0 run_capri_zdock_af2af2-Para-Epi 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0
1 7ps1_A0-B0 run_capri_zdock_ig-CDR-EpiVag 0 0 3 3 5 0 0 0 0 0 0 0 0 0 0
1 7ps1_A0-B0 run_capri_zdock_af2-Para-Epi 0 1 2 4 8 0 1 1 1 2 0 0 0 0 0
1 7ps1_A0-B0 run_capri_zdock_af2-CDR-EpiVag 0 0 1 2 5 0 0 1 1 1 0 0 0 0 0
1 7ps1_A0-B0 run_capri_zdock_af2ig-CDR-EpiVag 0 0 1 1 5 0 0 0 0 0 0 0 0 0 0
1 7ps1_A0-B0 run_capri_zdock_af2abl-CDR-EpiVag 0 1 1 1 3 0 0 0 0 0 0 0 0 0 0
1 7ps1_A0-B0 run_capri_zdock_ig-Para-Epi 0 2 4 6 12 0 0 1 1 1 0 0 0 0 0
1 7ps1_A0-B0 run_capri_zdock_ab-CDR-EpiVag 1 2 2 3 7 0 0 0 0 2 0 0 0 0 0
1 7ps1_A0-B0 run_capri_zdock_abl-Para-Epi 0 1 1 3 10 0 0 0 0 2 0 0 0 0 0
1 7ps1_A0-B0 run_capri_zdock_ab-Para-Epi 1 2 3 4 12 1 1 1 2 3 0 0 0 0 0
1 7ps1_A0-B0 run_capri_zdock_af2abl-Para-Epi 0 1 1 3 5 0 0 0 0 0 0 0 0 0 0
1 7kql_H0-L0 run_capri_zdock_abl-CDR-EpiVag 0 0 1 1 2 0 0 0 0 0 0 0 0 0 0
1 7kql_H0-L0 run_capri_zdock_af2ig-Para-Epi 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
1 7kql_H0-L0 run_capri_zdock_af2ab-Para-Epi 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7kql_H0-L0 run_capri_zdock_af2af2-CDR-EpiVag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7kql_H0-L0 run_capri_zdock_af2ab-CDR-EpiVag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7kql_H0-L0 run_capri_zdock_af2af2-Para-Epi 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7kql_H0-L0 run_capri_zdock_ig-CDR-EpiVag 0 1 1 2 5 0 1 1 1 1 0 0 0 0 0
1 7kql_H0-L0 run_capri_zdock_af2-Para-Epi 1 2 3 5 7 0 0 0 0 1 0 0 0 0 0
1 7kql_H0-L0 run_capri_zdock_af2-CDR-EpiVag 0 1 1 2 5 0 0 0 0 0 0 0 0 0 0
1 7kql_H0-L0 run_capri_zdock_af2ig-CDR-EpiVag 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0
1 7kql_H0-L0 run_capri_zdock_af2abl-CDR-EpiVag 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
1 7kql_H0-L0 run_capri_zdock_ig-Para-Epi 0 2 3 4 6 0 1 1 1 1 0 0 0 0 0
1 7kql_H0-L0 run_capri_zdock_ab-CDR-EpiVag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7kql_H0-L0 run_capri_zdock_abl-Para-Epi 0 1 2 3 5 0 0 0 0 0 0 0 0 0 0
1 7kql_H0-L0 run_capri_zdock_ab-Para-Epi 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7kql_H0-L0 run_capri_zdock_af2abl-Para-Epi 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
1 7si0_I0-J0 run_capri_zdock_abl-CDR-EpiVag 0 0 0 1 6 0 0 0 0 0 0 0 0 0 0
1 7si0_I0-J0 run_capri_zdock_af2ig-Para-Epi 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0
1 7si0_I0-J0 run_capri_zdock_af2ab-Para-Epi 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0
1 7si0_I0-J0 run_capri_zdock_af2af2-CDR-EpiVag 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
1 7si0_I0-J0 run_capri_zdock_af2ab-CDR-EpiVag 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0
1 7si0_I0-J0 run_capri_zdock_af2af2-Para-Epi 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
1 7si0_I0-J0 run_capri_zdock_ig-CDR-EpiVag 0 0 0 2 4 0 0 0 0 0 0 0 0 0 0
1 7si0_I0-J0 run_capri_zdock_af2-Para-Epi 1 4 7 12 20 0 1 1 1 2 0 0 0 0 0
1 7si0_I0-J0 run_capri_zdock_af2-CDR-EpiVag 0 4 7 9 15 0 1 1 1 2 0 0 0 0 0
1 7si0_I0-J0 run_capri_zdock_af2ig-CDR-EpiVag 0 0 1 1 2 0 0 0 0 0 0 0 0 0 0
1 7si0_I0-J0 run_capri_zdock_af2abl-CDR-EpiVag 0 1 2 3 4 0 0 0 0 0 0 0 0 0 0
1 7si0_I0-J0 run_capri_zdock_ig-Para-Epi 0 2 3 4 9 0 0 1 1 1 0 0 0 0 0
1 7si0_I0-J0 run_capri_zdock_ab-CDR-EpiVag 0 1 3 3 6 0 0 0 0 1 0 0 0 0 0
1 7si0_I0-J0 run_capri_zdock_abl-Para-Epi 0 1 3 5 17 0 0 0 0 0 0 0 0 0 0
1 7si0_I0-J0 run_capri_zdock_ab-Para-Epi 1 2 3 6 10 0 0 0 0 1 0 0 0 0 0
1 7si0_I0-J0 run_capri_zdock_af2abl-Para-Epi 0 2 3 4 8 0 0 0 0 0 0 0 0 0 0
1 7q0i_H0-L0 run_capri_zdock_abl-CDR-EpiVag 0 1 1 1 5 0 0 0 0 0 0 0 0 0 0
1 7q0i_H0-L0 run_capri_zdock_af2ig-Para-Epi 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7q0i_H0-L0 run_capri_zdock_af2ab-Para-Epi 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7q0i_H0-L0 run_capri_zdock_af2af2-CDR-EpiVag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7q0i_H0-L0 run_capri_zdock_af2ab-CDR-EpiVag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7q0i_H0-L0 run_capri_zdock_af2af2-Para-Epi 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7q0i_H0-L0 run_capri_zdock_ig-CDR-EpiVag 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0
1 7q0i_H0-L0 run_capri_zdock_af2-Para-Epi 1 3 4 6 10 1 2 2 3 5 0 0 0 0 0
1 7q0i_H0-L0 run_capri_zdock_af2-CDR-EpiVag 0 1 1 3 8 0 0 0 2 5 0 0 0 0 0
1 7q0i_H0-L0 run_capri_zdock_af2ig-CDR-EpiVag 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
1 7q0i_H0-L0 run_capri_zdock_af2abl-CDR-EpiVag 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
1 7q0i_H0-L0 run_capri_zdock_ig-Para-Epi 1 1 2 3 3 0 0 0 0 0 0 0 0 0 0
1 7q0i_H0-L0 run_capri_zdock_ab-CDR-EpiVag 0 1 1 2 3 0 0 0 0 0 0 0 0 0 0
1 7q0i_H0-L0 run_capri_zdock_abl-Para-Epi 0 2 3 4 10 0 0 0 0 0 0 0 0 0 0
1 7q0i_H0-L0 run_capri_zdock_ab-Para-Epi 0 0 0 2 7 0 0 0 0 1 0 0 0 0 0
1 7q0i_H0-L0 run_capri_zdock_af2abl-Para-Epi 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
1 7mzi_H0-L0 run_capri_zdock_abl-CDR-EpiVag 1 3 3 4 11 1 2 2 2 4 0 0 0 0 0
1 7mzi_H0-L0 run_capri_zdock_af2ig-Para-Epi 0 0 0 2 3 0 0 0 0 0 0 0 0 0 0
1 7mzi_H0-L0 run_capri_zdock_af2ab-Para-Epi 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0
1 7mzi_H0-L0 run_capri_zdock_af2af2-CDR-EpiVag 0 2 2 3 6 0 0 0 0 0 0 0 0 0 0
1 7mzi_H0-L0 run_capri_zdock_af2ab-CDR-EpiVag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
