 capri_step pdb run acc_top1 acc_top5 acc_top10 acc_top20 acc_top48 med_top1 med_top5 med_top10 med_top20 med_top48 high_top1 high_top5 high_top10 high_top20 high_top48
0 3 7q0g run-af2ensnoaf2-CDR-EpiVag-AA-mpi-50-50 1 3 4 6 9 0 1 1 1 2 0 0 0 0 0
1 3 7q0g run-af2ig-CDR-EpiVag-mpi-50-50 0 0 1 2 3 0 0 0 0 0 0 0 0 0 0
2 3 7q0g run-af2ab-CDR-EpiVag-mpi-50-50 1 1 1 2 2 0 0 0 0 0 0 0 0 0 0
3 3 7q0g run-abl-Para-Epi-mpi-50-50 0 0 0 2 17 0 0 0 1 3 0 0 0 0 0
4 3 7q0g run-af2af2-Para-Epi-mpi-50-50 0 2 3 4 7 0 0 0 0 0 0 0 0 0 0
5 3 7q0g run-ens-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
6 3 7q0g run-ensnoaf2-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
7 3 7q0g run-abl-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8 3 7q0g run-abens-CDR-EpiVag-AA-mpi-50-50 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0
9 3 7q0g run-ig-CDR-EpiVag-AA-mpi-50-50 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0
10 3 7q0g run-af2ig-CDR-EpiVag-AA-mpi-50-50 1 3 4 6 6 0 0 0 0 0 0 0 0 0 0
11 3 7q0g run-af2af2-CDR-EpiVag-AA-mpi-50-50 0 0 4 7 10 0 0 0 0 0 0 0 0 0 0
12 3 7q0g run-af2abens-CDR-EpiVag-AA-mpi-50-50 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
13 3 7q0g run-af2ig-Para-Epi-mpi-50-50 0 2 3 6 13 0 0 0 0 0 0 0 0 0 0
14 3 7q0g run-af2ab-Para-Epi-mpi-50-50 1 5 9 14 17 0 3 4 6 8 0 0 0 0 0
15 3 7q0g run-ens-Para-Epi-mpi-50-50 1 2 3 6 13 0 0 0 0 0 0 0 0 0 0
16 3 7q0g run-ensnoaf2-Para-Epi-mpi-50-50 1 2 2 6 12 0 0 0 0 0 0 0 0 0 0
17 3 7q0g run-af2-Para-Epi-mpi-50-50 0 1 3 7 14 0 0 0 0 0 0 0 0 0 0
18 3 7q0g run-af2abl-Para-Epi-mpi-50-50 1 4 5 8 10 0 0 0 0 0 0 0 0 0 0
19 3 7q0g run-af2ensnoaf2-CDR-EpiVag-mpi-50-50 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
20 3 7q0g run-af2-CDR-EpiVag-mpi-50-50 1 2 2 2 2 0 0 0 0 0 0 0 0 0 0
21 3 7q0g run-af2ensnoaf2-Para-Epi-mpi-50-50 0 3 6 11 17 0 1 1 2 3 0 0 0 0 0
22 3 7q0g run-af2abens-CDR-EpiVag-mpi-50-50 1 2 2 3 3 0 0 0 0 0 0 0 0 0 0
23 3 7q0g run-ens-CDR-EpiVag-mpi-50-50 1 2 2 2 2 0 0 0 0 0 0 0 0 0 0
24 3 7q0g run-af2ab-CDR-EpiVag-AA-mpi-50-50 1 2 3 6 6 1 1 2 2 2 0 0 0 0 0
25 3 7q0g run-abens-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
26 3 7q0g run-ab-CDR-EpiVag-AA-mpi-50-50 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0
27 3 7q0g run-abens-Para-Epi-mpi-50-50 0 0 1 2 10 0 0 0 0 4 0 0 0 0 0
28 3 7q0g run-abl-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
29 3 7q0g run-ensnoaf2-CDR-EpiVag-mpi-50-50 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0
30 3 7q0g run-ig-Para-Epi-mpi-50-50 1 4 7 13 22 0 0 0 0 0 0 0 0 0 0
31 3 7q0g run-af2ens-CDR-EpiVag-AA-mpi-50-50 1 2 3 7 10 0 0 1 1 2 0 0 0 0 0
32 3 7q0g run-ab-Para-Epi-mpi-50-50 1 2 3 9 15 0 0 0 1 2 0 0 0 0 0
33 3 7q0g run-af2abl-CDR-EpiVag-mpi-50-50 0 1 1 1 2 0 0 0 0 0 0 0 0 0 0
34 3 7q0g run-af2abens-Para-Epi-mpi-50-50 0 2 4 8 12 0 0 1 2 3 0 0 0 0 0
35 3 7q0g run-ig-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
36 3 7q0g run-af2ens-CDR-EpiVag-mpi-50-50 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
37 3 7q0g run-af2-CDR-EpiVag-AA-mpi-50-50 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
38 3 7q0g run-ab-CDR-EpiVag-mpi-50-50 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0
39 3 7q0g run-af2abl-CDR-EpiVag-AA-mpi-50-50 1 3 5 5 7 0 1 1 1 1 0 0 0 0 0
40 3 7q0g run-af2af2-CDR-EpiVag-mpi-50-50 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0
41 3 7q0g run-af2ens-Para-Epi-mpi-50-50 1 3 4 9 14 0 0 1 1 2 0 0 0 0 0
42 3 7q0i run-af2ensnoaf2-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
43 3 7q0i run-af2ig-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
44 3 7q0i run-af2ab-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
45 3 7q0i run-abl-Para-Epi-mpi-50-50 0 3 7 15 25 0 0 0 0 0 0 0 0 0 0
46 3 7q0i run-af2af2-Para-Epi-mpi-50-50 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0
47 3 7q0i run-ens-CDR-EpiVag-AA-mpi-50-50 1 5 10 15 19 1 3 6 6 7 0 0 0 0 0
48 3 7q0i run-ensnoaf2-CDR-EpiVag-AA-mpi-50-50 1 5 8 11 14 0 0 1 1 2 0 0 0 0 0
49 3 7q0i run-abl-CDR-EpiVag-AA-mpi-50-50 0 2 4 8 11 0 0 0 0 0 0 0 0 0 0
50 3 7q0i run-abens-CDR-EpiVag-AA-mpi-50-50 1 1 2 3 4 0 0 0 0 0 0 0 0 0 0
51 3 7q0i run-ig-CDR-EpiVag-AA-mpi-50-50 1 4 7 10 14 0 0 0 0 2 0 0 0 0 0
52 3 7q0i run-af2ig-CDR-EpiVag-AA-mpi-50-50 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0
53 3 7q0i run-af2af2-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
54 3 7q0i run-af2abens-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
55 3 7q0i run-af2ig-Para-Epi-mpi-50-50 1 2 3 4 5 0 0 0 0 0 0 0 0 0 0
56 3 7q0i run-af2ab-Para-Epi-mpi-50-50 0 0 0 2 6 0 0 0 0 0 0 0 0 0 0
57 3 7q0i run-ens-Para-Epi-mpi-50-50 1 5 10 16 24 1 5 9 12 12 0 1 1 1 1
58 3 7q0i run-ensnoaf2-Para-Epi-mpi-50-50 1 4 6 13 23 1 3 3 6 6 0 0 0 0 0
59 3 7q0i run-af2-Para-Epi-mpi-50-50 1 5 10 20 29 1 5 10 20 29 0 1 3 5 5
60 3 7q0i run-af2abl-Para-Epi-mpi-50-50 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0
61 3 7q0i run-af2ensnoaf2-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
62 3 7q0i run-af2-CDR-EpiVag-mpi-50-50 1 5 10 16 19 1 5 10 16 16 0 0 1 1 1
63 3 7q0i run-af2ensnoaf2-Para-Epi-mpi-50-50 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0
64 3 7q0i run-af2abens-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65 3 7q0i run-ens-CDR-EpiVag-mpi-50-50 1 5 7 8 8 1 3 5 5 5 0 0 0 0 0
66 3 7q0i run-af2ab-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
67 3 7q0i run-abens-CDR-EpiVag-mpi-50-50 1 2 4 4 4 0 0 0 0 0 0 0 0 0 0
68 3 7q0i run-ab-CDR-EpiVag-AA-mpi-50-50 1 5 10 13 13 0 1 5 7 7 0 0 0 0 0
69 3 7q0i run-abens-Para-Epi-mpi-50-50 0 3 5 12 15 0 2 3 4 4 0 0 0 0 0
70 3 7q0i run-abl-CDR-EpiVag-mpi-50-50 0 0 1 2 4 0 0 0 0 0 0 0 0 0 0
71 3 7q0i run-ensnoaf2-CDR-EpiVag-mpi-50-50 1 4 5 6 6 0 1 2 2 2 0 0 0 0 0
72 3 7q0i run-ig-Para-Epi-mpi-50-50 1 5 8 17 26 0 4 4 7 7 0 0 0 0 0
73 3 7q0i run-af2ens-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
74 3 7q0i run-ab-Para-Epi-mpi-50-50 1 5 10 20 32 1 4 8 18 21 0 0 0 0 0
75 3 7q0i run-af2abl-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
76 3 7q0i run-af2abens-Para-Epi-mpi-50-50 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0
77 3 7q0i run-ig-CDR-EpiVag-mpi-50-50 1 5 6 7 9 0 2 2 3 4 0 0 0 0 0
78 3 7q0i run-af2ens-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
79 3 7q0i run-af2-CDR-EpiVag-AA-mpi-50-50 1 5 10 20 24 1 5 10 20 20 0 0 0 0 0
80 3 7q0i run-ab-CDR-EpiVag-mpi-50-50 1 5 8 8 8 0 2 3 3 3 0 0 0 0 0
81 3 7q0i run-af2abl-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
82 3 7q0i run-af2af2-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
83 3 7q0i run-af2ens-Para-Epi-mpi-50-50 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0
84 3 7pi7 run-af2ensnoaf2-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
85 3 7pi7 run-af2ig-CDR-EpiVag-mpi-50-50 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0
86 3 7pi7 run-af2ab-CDR-EpiVag-mpi-50-50 0 1 1 1 3 0 0 0 0 0 0 0 0 0 0
87 3 7pi7 run-abl-Para-Epi-mpi-50-50 1 4 7 12 17 1 3 4 5 5 0 0 0 0 0
88 3 7pi7 run-af2af2-Para-Epi-mpi-50-50 1 5 9 14 17 0 0 0 0 0 0 0 0 0 0
89 3 7pi7 run-ens-CDR-EpiVag-AA-mpi-50-50 1 1 1 3 3 0 0 0 0 0 0 0 0 0 0
90 3 7pi7 run-ensnoaf2-CDR-EpiVag-AA-mpi-50-50 1 2 2 3 4 1 1 1 1 1 1 1 1 1 1
91 3 7pi7 run-abl-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
92 3 7pi7 run-abens-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
93 3 7pi7 run-ig-CDR-EpiVag-AA-mpi-50-50 1 2 2 3 5 1 1 1 1 1 1 1 1 1 1
94 3 7pi7 run-af2ig-CDR-EpiVag-AA-mpi-50-50 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0
95 3 7pi7 run-af2af2-CDR-EpiVag-AA-mpi-50-50 0 0 1 2 3 0 0 0 0 0 0 0 0 0 0
96 3 7pi7 run-af2abens-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
97 3 7pi7 run-af2ig-Para-Epi-mpi-50-50 0 0 3 7 8 0 0 0 0 0 0 0 0 0 0
98 3 7pi7 run-af2ab-Para-Epi-mpi-50-50 1 2 3 5 11 0 0 0 0 0 0 0 0 0 0
99 3 7pi7 run-ens-Para-Epi-mpi-50-50 1 4 9 16 21 1 3 6 7 7 0 0 0 0 0
100 3 7pi7 run-ensnoaf2-Para-Epi-mpi-50-50 1 5 9 13 15 1 5 8 9 9 0 0 0 0 0
101 3 7pi7 run-af2-Para-Epi-mpi-50-50 1 5 10 17 22 1 4 7 9 10 0 0 0 0 0
102 3 7pi7 run-af2abl-Para-Epi-mpi-50-50 0 1 3 4 10 0 0 0 0 0 0 0 0 0 0
103 3 7pi7 run-af2ensnoaf2-CDR-EpiVag-mpi-50-50 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
104 3 7pi7 run-af2-CDR-EpiVag-mpi-50-50 0 1 3 5 6 0 0 2 2 2 0 0 0 0 0
105 3 7pi7 run-af2ensnoaf2-Para-Epi-mpi-50-50 0 1 3 6 8 0 0 0 0 0 0 0 0 0 0
106 3 7pi7 run-af2abens-CDR-EpiVag-mpi-50-50 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0
107 3 7pi7 run-ens-CDR-EpiVag-mpi-50-50 0 0 1 3 4 0 0 0 1 1 0 0 0 0 0
108 3 7pi7 run-af2ab-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
109 3 7pi7 run-abens-CDR-EpiVag-mpi-50-50 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0
110 3 7pi7 run-ab-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
111 3 7pi7 run-abens-Para-Epi-mpi-50-50 1 5 10 13 17 1 2 2 2 2 0 0 0 0 0
112 3 7pi7 run-abl-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
113 3 7pi7 run-ensnoaf2-CDR-EpiVag-mpi-50-50 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0
114 3 7pi7 run-ig-Para-Epi-mpi-50-50 1 5 10 16 20 1 5 9 10 10 1 1 1 1 1
115 3 7pi7 run-af2ens-CDR-EpiVag-AA-mpi-50-50 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0
116 3 7pi7 run-ab-Para-Epi-mpi-50-50 1 4 7 12 19 1 2 3 4 4 0 0 0 0 0
117 3 7pi7 run-af2abl-CDR-EpiVag-mpi-50-50 0 1 1 1 2 0 0 0 0 0 0 0 0 0 0
118 3 7pi7 run-af2abens-Para-Epi-mpi-50-50 0 2 2 5 8 0 0 0 0 0 0 0 0 0 0
119 3 7pi7 run-ig-CDR-EpiVag-mpi-50-50 1 1 1 1 2 0 0 0 0 0 0 0 0 0 0
120 3 7pi7 run-af2ens-CDR-EpiVag-mpi-50-50 0 1 1 1 2 0 0 0 0 0 0 0 0 0 0
