,pdb,rmsd_full,plddt_ave_full,rmsd_full_cat,plddt_full_cat,rmsd_vague,plddt_ave_vague,rmsd_vague_cat,plddt_vague_cat,rmsd_para_epi,plddt_ave_para_epi,rmsd_para_epi_cat,plddt_para_epi_cat
0,7rfb_A0-B0,0.9700890862861357,90.93407079646018,high,high,1.2008335525907745,89.59148936170213,high,good,1.4077532448774808,85.28523809523809,high,good
1,7ps1_A0-B0,0.5398606006742972,93.9957731958763,high,high,0.375188230477849,97.12934426229506,high,high,0.4097093680712786,96.92296296296297,high,high
2,7kql_H0-L0,2.5796589842819215,92.73590909090906,good,high,2.194141690503219,92.83071428571428,good,high,2.495613955460485,91.51375,good,high
3,7si0_I0-J0,1.0206402695174823,95.43602870813397,high,high,0.3952529112730269,96.66571428571427,high,high,0.5248724603259081,96.55421052631579,high,high
4,7q0i_H0-L0,2.4539876201114663,87.1178853046595,good,good,3.7560033146314673,66.81355555555557,good,bad,4.086786596557451,63.50173913043477,good,bad
5,7mzi_H0-L0,0.7957503681949145,88.84056122448979,high,good,0.6945285830919145,93.31277777777777,high,high,0.7379196561704744,91.67714285714285,high,high
6,7k9j_H0-L0,3.276366982679184,88.72766802443992,good,good,0.5020453372074707,90.76781249999999,high,high,0.5250032656147982,90.47312500000001,high,high
7,7rah_B0-A0,2.1326084932130502,91.15827777777777,good,high,2.4179756169735565,90.0439285714286,good,high,1.1274049753701059,92.00000000000001,high,high
8,7lr3_H0-L0,1.9868363256506814,89.71201834862386,high,good,0.9827972615106297,95.38541666666667,high,high,1.0888129097771642,94.58058823529412,high,high
9,7qu2_A0-B0,0.5258847904700501,95.98105633802817,high,high,0.3648923048391066,97.44418604651162,high,high,0.41043769305680156,96.72411764705883,high,high
10,7mzm_H0-L0,1.3493591017653033,90.67255208333334,high,high,0.8581478798151393,94.01513888888888,high,high,0.6903783417519535,94.5662962962963,high,high
11,7kyo_H0-L0,1.6479904861137593,94.26209401709403,high,high,0.481195217404564,96.35089285714285,high,high,0.49226902483341367,96.52499999999999,high,high
12,7b0b_H0-L0,2.3309648782740156,89.58446153846154,good,good,1.002693213269506,91.07833333333332,high,high,0.6147154653986703,88.70923076923077,high,good
13,7qny_A0-B0,0.8315128557337212,91.20775956284156,high,high,0.9542500625352487,93.27953124999999,high,high,1.0165337727151547,93.37,high,high
14,7n4i_H0-L0,1.0755212452495755,89.10924623115581,high,good,0.9044645258483819,91.47514705882355,high,high,0.9712521968025384,91.28636363636363,high,high
15,7k7h_H0-L0,0.8782109880260814,98.6469298245614,high,high,0.9701427303939374,98.39654545454546,high,high,1.2411376473437117,97.99192307692307,high,high
16,7l7e_C0-D0,24.87547856917792,94.48560411311053,bad,high,14.383578670191175,97.64320512820511,bad,high,12.137703182721152,97.08708333333334,bad,high
17,7msq_D0-E0,2.253218334391727,91.34592592592593,good,high,0.8572235441361918,90.46517241379311,high,high,0.7489101677387607,89.619,high,good
18,7ps2_A0-B0,3.1843309387721233,92.93883248730963,good,high,0.3668780869674133,97.528,high,high,0.40554958877826386,97.45625,high,high
19,7s0b_A0-B0,0.7114373938423431,89.19217171717173,high,good,0.45818224910353794,95.45714285714287,high,high,0.42749025877511887,95.709,high,high
20,7bbg_H0-L0,0.9758610555040117,95.11833922261484,high,high,0.5065999894795402,95.96344262295081,high,high,0.5323301777902393,94.02000000000001,high,high
21,7r8l_H0-L0,0.7393699180402514,93.88969072164947,high,high,0.46302918156549594,97.42451612903226,high,high,0.5147199644972603,97.285,high,high
22,7mzh_H0-L0,0.7700428385552415,88.7253807106599,high,good,1.1298211250401522,90.26555555555555,high,high,1.4895355580252405,84.96142857142857,high,good
23,7nx3_B0-C0,1.709645064421383,92.1921843003413,high,high,2.921332926670316,85.17345454545453,good,good,2.5743381365013374,79.70315789473683,good,good
24,7l7r_B0-A0,2.6837239707518226,86.89424657534248,good,good,0.5601059784205819,92.77697674418604,high,high,0.600085998529089,93.32631578947368,high,high
25,7q0g_A0-B0,0.7050986894313667,93.63602040816329,high,high,0.915057940744974,88.34250000000002,high,good,1.1435580133911976,86.58523809523808,high,good
26,7phu_B0-C0,1.2323547264655157,94.81864406779661,high,high,1.8237950357755477,89.06940000000003,high,good,2.059458294590482,85.03227272727271,good,good
27,7seg_H0-L0,1.1903170579727687,96.09718562874251,high,high,0.8009856593832534,97.35339622641509,high,high,0.8430462904966886,97.08850000000002,high,high
28,7s4s_H0-L0,0.8811183908126701,90.66113989637304,high,high,0.6428360069339212,94.5368253968254,high,high,0.5987553097516459,94.3096551724138,high,high
29,7phw_B0-C0,1.0493249539485554,93.15567823343848,high,high,0.6351742318436149,89.95500000000001,high,good,0.8091679645793758,88.72466666666666,high,good
30,7lr4_H0-L0,2.201894421237824,86.78747474747476,good,good,1.0813255929311356,89.51794871794871,high,good,0.958182861307061,90.09823529411766,high,high
31,7l7d_H0-L0,1.0167478382016424,93.29214285714286,high,high,0.3463398910111071,96.51689655172413,high,high,0.29015630542300613,95.50642857142857,high,high
32,7l0l_H0-L0,1.6054835450215676,92.10378542510122,high,high,0.674202395748829,92.31490909090907,high,high,0.6710407863276172,93.55263157894738,high,high
33,7mzj_H0-L0,1.0546200777562784,89.37127551020407,high,good,0.8993988521426239,94.37137931034482,high,high,0.872222924183048,93.95,high,high
34,7qu1_A0-B0,0.8887166212211097,94.27203947368422,high,high,0.6519963641290437,94.07347826086959,high,high,0.6282251854873024,93.02888888888889,high,high
35,7e72_A0-B0,1.188570255289442,94.24688775510204,high,high,0.9672838790231805,92.08568181818181,high,high,0.766844471150465,91.9265,high,high
36,7daa_H0-L0,3.0718093980222023,93.94104651162792,good,high,3.5976286150837042,94.22541666666666,good,high,3.162271477807215,93.69200000000001,good,high
37,7np1_H0-L0,1.3294140869356965,90.51116959064329,high,high,0.4424400581505748,97.17588235294116,high,high,0.47343147132769364,96.97391304347825,high,high
38,7n4j_H0-L0,1.1539662678498195,89.19524752475249,high,good,0.9246576106405746,93.59641509433963,high,high,1.1646206406019297,91.4942105263158,high,high
39,7dk2_A0-B0,1.0226888020860456,90.39743455497383,high,high,0.9677232073511352,93.48585714285713,high,high,0.7769135081197873,93.17241379310343,high,high
40,7pr0_H0-L0,3.3341077908586585,93.0010152284264,good,high,1.112509201824259,97.3636956521739,high,high,0.9093749420823827,97.25499999999998,high,high
41,7s13_H0-L0,5.768136553141863,87.49017316017317,bad,good,1.2744296316963513,89.44407407407407,high,good,1.5284933475919984,86.05407407407408,high,good
42,7l7r_D0-C0,3.4361110304828117,86.95805479452055,good,good,0.8000034825479408,89.23896551724138,high,good,0.8164853986746036,88.36615384615385,high,good
43,7f7e_C0-L0,1.0375555860362267,89.56585858585858,high,good,0.47741085027058516,95.61976744186046,high,high,0.4236197526324806,95.08799999999998,high,high
44,7rk1_C0-C1,0.7076020443343605,97.3290366972477,high,high,0.4408241417160337,98.5871794871795,high,high,0.5271461332625106,98.37764705882353,high,high
45,7s11_H0-L0,1.708015577566664,88.2895575221239,high,good,1.607025713208665,89.973,high,good,1.4749986741734153,91.46058823529411,high,high
46,7bnv_H0-L0,1.0158189580791872,90.37695876288662,high,high,0.5926233125956579,92.94836734693877,high,high,0.5955808887245597,93.544,high,high
47,7mzf_H0-L0,0.9817351448663618,89.01127551020407,high,good,0.9878729371926771,94.14943661971833,high,high,1.124540168776663,93.36625000000001,high,high
48,7kn4_H0-L0,0.7542677903353632,94.07252577319588,high,high,0.4701731252840697,97.21666666666667,high,high,0.4552293156384136,96.77666666666667,high,high
49,7r89_C0-D0,5.565627449075084,80.73070080862534,bad,good,2.8113647219914233,68.5120930232558,good,bad,3.470700897847892,62.066315789473684,good,bad
50,7kf1_H0-L0,0.8793884425176974,97.50778947368421,high,high,0.4008373879685606,97.47555555555556,high,high,0.37075613051471135,97.4357142857143,high,high
51,7e3o_H0-L0,2.6254002887510204,89.57613756613756,good,good,1.3161594891520156,92.86830188679244,high,high,1.5931009579172954,90.24833333333333,high,high
52,7lf7_A0-B0,1.2388234619523837,91.20692307692309,high,high,0.3294148849044274,96.7313043478261,high,high,0.18946449852401534,96.98357142857144,high,high
53,7mdj_A0-B0,0.8598489471011098,96.73754901960787,high,high,0.3708874631024478,97.9490625,high,high,0.3352259680121223,97.48500000000001,high,high
54,7shu_E0-F0,1.638064479163993,96.04881773399013,high,high,0.8022977718410403,96.15186046511627,high,high,0.7702201122414745,95.65299999999999,high,high
55,7kez_H0-L0,0.8255522959423831,97.33021276595746,high,high,0.5006761436591668,97.0804347826087,high,high,0.4919193385012496,96.80642857142855,high,high
56,7lfa_B0-D0,4.400566371568942,92.91702127659578,good,high,3.8844955167848854,87.03320000000002,good,good,3.2014200278473535,83.76416666666665,good,good
57,7ps6_H0-L0,0.828309211277105,94.42175824175825,high,high,0.30605988784828003,97.03423076923076,high,high,0.23912191229295893,96.62083333333334,high,high
58,7mrz_X0-Y0,13.006489797066367,89.72883040935672,bad,good,1.2381612452294626,94.58274193548385,high,high,1.0543751326221926,95.27913043478262,high,high
59,7lfb_H0-L0,17.38907804917761,94.107125,bad,high,5.576835279231256,95.17590909090909,bad,high,5.948964252973604,93.30357142857143,bad,high
60,7sem_B0-C0,2.22882396437992,92.16713953488373,good,high,0.8894639794328048,93.16548387096773,high,high,1.0389618661536257,92.7774074074074,high,high
61,7rk2_C0-C1,0.6493828498975508,97.54625287356322,high,high,0.5611302713607208,97.26464285714285,high,high,0.6134620316115411,96.71636363636365,high,high
62,7qnw_A0-B0,2.423076101925366,90.93218085106383,good,high,0.48959276988356926,96.9897142857143,high,high,0.2663879130266158,96.58705882352942,high,high
63,7mzk_N0-M0,0.8451907414405442,89.2117948717949,high,good,0.4358629048716368,91.60727272727273,high,high,0.30566644109058444,92.72333333333334,high,high
64,7kn3_H0-L0,0.7812505788899272,90.42958762886597,high,high,1.0298735270874098,93.27122807017544,high,high,1.3669985831392168,90.30958333333335,high,high
65,7rah_D0-C0,10.487431507192577,91.52,bad,high,2.43581037263915,81.11685714285714,good,good,2.6806869581298454,75.91499999999999,good,good
66,7soe_B0-L0,1.9811360375884541,85.41354025218234,high,good,2.588396233717968,72.12923076923076,good,good,1.8732967269732839,72.52999999999999,high,good
67,7ps4_H0-L0,0.8657104577212611,93.57041237113404,high,high,0.530145470994829,96.33931818181817,high,high,0.5207179366652349,95.25105263157894,high,high
68,7shz_K0-L0,1.286936067014372,94.5124644549763,high,high,0.5003470041517998,95.35243243243244,high,high,0.4234262877071141,96.21388888888889,high,high
69,7ps0_H0-L0,0.522985663515479,93.76630769230769,high,high,0.4417800502119943,97.6725,high,high,0.47381054966154407,97.2157142857143,high,high
70,7bbj_H0-L0,11.834096844222625,96.87032442748092,bad,high,0.4249167648664491,96.99163934426231,high,high,0.42486575334480614,96.73666666666668,high,high
71,7vux_H0-L0,1.5812134615358873,91.28598360655738,high,high,1.9680222730078722,84.76060606060607,high,good,1.7792119439021676,83.68636363636364,high,good
72,7vmu_A0-A1,1.0304950756759472,91.586875,high,high,0.87016911974307,94.64917808219178,high,high,0.8839895889363664,94.45970588235294,high,high
73,7coe_H0-L0,1.4271790101858601,94.47180487804879,high,high,0.8054399020018577,96.21777777777778,high,high,0.7162658220976856,96.78849999999998,high,high
74,7ps6_C0-D0,0.8114150761354565,93.5163186813187,high,high,0.6482460233887131,93.97238095238095,high,high,0.7333138354014102,93.26500000000003,high,high
75,7q0g_H0-L0,1.65239544075961,92.36403061224489,high,high,0.46878293864937703,96.66426229508197,high,high,0.5317162198405517,96.36461538461536,high,high
76,7mzg_H0-L0,0.9077942212178786,92.07051546391753,high,high,0.7615988975539804,95.68536231884059,high,high,0.5503936343791012,95.81468749999999,high,high
77,7pi7_B0-C0,1.4219329385262465,93.69422712933753,high,high,2.266741466760102,89.33340425531915,good,good,2.4825116093041735,88.99833333333333,good,good
78,7e5o_H0-L0,1.8135521368531105,92.5643085106383,high,high,0.6237563073907206,97.42159420289855,high,high,0.5096579090265388,97.52517241379311,high,high
79,7n3i_H0-L0,0.7469273907743058,93.91567010309278,high,high,0.481876545309214,97.44476190476192,high,high,0.549763332236348,97.35727272727271,high,high
80,7ps2_H0-L0,3.629126205081983,92.08705583756345,good,high,0.3162949086317973,93.74615384615385,high,high,0.3388684857614377,93.99380952380953,high,high
81,7rks_H0-L0,0.9034237984140118,94.1485164835165,high,high,1.0819544697989292,92.82347222222222,high,high,1.0952391830246953,90.17999999999999,high,high
82,7kf0_H0-L0,2.43654902513658,96.96384210526314,good,high,0.3824196855262108,97.06432432432433,high,high,0.35330199952518204,96.15631578947368,high,high
