capri_step pdb run acc_top1 acc_top2 acc_top3 acc_top4 acc_top5 med_top1 med_top2 med_top3 med_top4 med_top5 high_top1 high_top2 high_top3 high_top4 high_top5
7 7rfb_A0-B0 run-af2ensnoaf2-CDR-EpiVag-AA-mpi-50-50 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-af2ig-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-af2ab-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-abl-Para-Epi-mpi-50-50 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-af2af2-Para-Epi-mpi-50-50 0 0 1 1 1 0 0 1 1 1 0 0 0 0 0
7 7rfb_A0-B0 run-ens-CDR-EpiVag-AA-mpi-50-50 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-ensnoaf2-CDR-EpiVag-AA-mpi-50-50 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-abl-CDR-EpiVag-AA-mpi-50-50 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-bound-Para-Epi-mpi-50-50 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
7 7rfb_A0-B0 run-af2clens-CDR-EpiVag-AA-mpi-50-50 1 1 2 2 2 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-abens-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-igens-CDR-EpiVag-mpi-50-50 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-igens-Para-Epi-mpi-50-50 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-ig-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-af2igens-CDR-EpiVag-mpi-50-50 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-af2ig-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-af2af2-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-af2igens-CDR-EpiVag-AA-mpi-50-50 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-af2abens-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-clens-CDR-EpiVag-AA-mpi-50-50 1 2 2 2 2 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-af2ig-Para-Epi-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-igens-CDR-EpiVag-AA-mpi-50-50 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-af2ab-Para-Epi-mpi-50-50 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-af2igens-Para-Epi-mpi-50-50 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-ens-Para-Epi-mpi-50-50 1 1 2 2 2 0 0 0 0 0 0 0 0 0 0
